class,text
Pos,Now all @Apple has to do is get swype on the iphone and it will be crack. Iphone that is
Pos,@Apple will be adding more carrier support to the iPhone 4S (just announced)
Pos,Hilarious @youtube video - guy does a duet with @apple 's Siri. Pretty much sums up the love affair! http://t.co/8ExbnQjY
Pos,@RIM you made it too easy for me to switch to @Apple iPhone. See ya!
Pos,I just realized that the reason I got into twitter was ios5 thanks @apple
Pos,I'm a current @Blackberry user little bit disappointed with it! Should I move to @Android or @Apple @iphone
Pos,The 16 strangest things Siri has said so far. I am SOOO glad that @Apple gave Siri a sense of humor! http://t.co/TWAeUDBp via @HappyPlace
Pos,Great up close & personal event @Apple tonight in Regent St store!
Pos,From which companies do you experience the best customer service aside from @zappos and @apple?
Pos,Just apply for a job at @Apple hope they call me lol
Pos,RT @JamaicanIdler: Lmao I think @apple is onto something magical! I am DYING!!! haha. Siri suggested where to find whores and where to h ...
Pos,Lmao I think @apple is onto something magical! I am DYING!!! haha. Siri suggested where to find whores and where to hide a body lolol
Pos,RT @PhillipRowntree: Just registered as an @apple developer... Here's hoping I can actually do it... Any help greatly appreciated!
Pos,Wow. Great deals on refurbed #iPad (first gen) models. RT: Apple offers great deals on refurbished 1st-gen iPads http://t.co/ukWOKBGd @Apple
Pos,Just registered as an @apple developer... Here's hoping I can actually do it... Any help greatly appreciated!
Pos, ! Currently learning Mandarin for my upcoming trip to Hong Kong. I gotta hand it to @Apple iPhones & their uber useful flashcard apps  
Pos,Come to the dark side @gretcheneclark: Hey @apple if you send me a free iPhone I will publicly and ceremoniously burn my #BlackBerry.
Neg,It would be great If @Apple would send my new phone. #frustrated
Neg,@apple thank you for ruining my 3GS with #iOS5. You've just turned my phone into an utterly useless pile of shit.
Neg,@rogerweir no but I have the option of a  replacement iPhone 4s ?Not sure if I want one after having 2 duff iPhones.@O2 @iphone4s @apple
Neg,So apparently @apple put MB cap on your SMS with the new update. 25mb storage before it tells you your inbox is full. What is this 2001?
Neg,You know @apple It's been almost a week since I paid for iTunes Match I would really like to use it. Any ETA on a fix?
Neg,removing all @apple shit.
Neg,So @PhoenixSwinger 's iPhone 4 is giving her a hella hard time w/ the iOS5 update @apple
Neg,What??? I that sucks hello @apple RT @PhoneDog_Aaron Interesting note - DROID RAZR's battery isn't removable.
Neg,@Apple can't send me an iPhone preordered 1hr after launching but they cans send 5 or 10 to all the jackasses who want to shoot or blend 'em
Neg,Gotta say the @Apple itouch iphone shuffle etc.. sound quality is AWFUL.. painfully crap. Its been a downgrade from @Sony sound quality wise
Neg,@bisquiat @Apple the upgrade just slows down my phone so much it's stuck half the time. uch. thankfully no other damage. sucks for you :(
Neg,@Mayati I think @Apple didn't do such a thorough job with the step x steps for upgrade and move to iCloud. Now it's cost me mightily.
Neg,Hey @apple now I have iOS5 my iPhone doesn't include songs that are on compilation albums under the artist's name. #whaddupwitdat
Neutral,RT @CRMStrategies: Great Tech War of 2012 http://t.co/64jGRoBp @FastCompany profiles @Amazon @Apple @Google @Facebook on @CNBC /ht @phil ...
Neutral,@apple gonna see if anyone stayed logged into their fb or twitter #TroubleMaker
Neutral,@leg3nd @apple the new iPhone?
Neutral,If you've been struggling to get hold of me I'm back online with a new iPhone - thanks @apple
Neutral,Hey @Apple pretty much all your products are amazing. You blow minds every time you launch a new gizmo. That said your hold music is crap.
Neutral,Great Tech War of 2012 http://t.co/64jGRoBp @FastCompany profiles @Amazon @Apple @Google @Facebook on @CNBC /ht @philsimon
Neutral,@Apple has a pic of Steve Jobs on their home page. #Honor
Neutral,@Apple to shut stores!!! C'mon Only Wednesday for @SteveJobs memorial.
Neutral,@Motorola is the Best Android-powered company that is going against @Apple.
Neutral,@apple #readyfor5.0.1 http://t.co/M2FqakYr
Neutral,This is what I have been waiting for RT @Apple The last big project Steve Jobs was working on was the new cranial insertion device: iMplant.
Neutral,Apple Users Get The official Kalifornia Cavi App on your Apple Device now on  - powered by @Apple - Download it free http://t.co/HlGnvlRw
Neutral,The official Kalifornia Cavi Mobil App is now available on the app store - powered by @Apple - Download it free http://t.co/HlGnvlRw
Neutral,#Win an @Apple iPod Touch from @Mommy_gaga get the @Pampers Hello World Baby Memories App! http://t.co/I6woujUh #PampersHelloApps
